Text,Label
"I am happy because I am learning NLP",1
"I am happy @username",1
"I am sad, I am not learning NLP",0
"I am sad & frustrated",0
"I love coding in Python",1
"I hate Mondays, they are so dull",0
"Excited for my vacation next week!",1
"Stressed about my upcoming exams",0
"Feeling lonely tonight",0
"Loving this new book I'm reading",1
"Can't wait to see my friends tomorrow!",1
"I'm feeling frustrated with my work",0
"I feel so blessed today",1
"Feeling anxious about the presentation",0
"Missing my family back home",0
"I am grateful for this opportunity",1
"Feeling disappointed with the results",0
"I'm ecstatic about the new job offer",1
"Feeling overwhelmed with all the tasks",0
"Excited to start my new project",1
"I'm feeling down today",0
"I'm passionate about my hobbies",1
"Feeling exhausted after a long day",0
"I'm thrilled to announce our success",1
"Feeling nervous about the interview",0
"I'm proud of my accomplishments",1
"Feeling discouraged by the setbacks",0
"I'm inspired by the beauty of nature",1
"Feeling annoyed by the constant noise",0
"I'm fascinated by this new discovery",1
"Feeling bored with the routine",0
"I'm determined to achieve my goals",1
"Feeling indifferent about the outcome",0
"I'm intrigued by this mystery novel",1
"Feeling irritated by the traffic",0
"I'm captivated by this art exhibit",1
"Feeling exhausted after the workout",0
"I'm enchanted by this magical place",1
"Feeling frustrated with the delays",0
"I'm delighted by the surprise party",1
"Feeling anxious about the future",0
"I'm moved by this touching story",1
"Feeling stressed about the deadline",0
"I'm impressed by his dedication",1
"Feeling overwhelmed by the workload",0
"I'm energized after a good night's sleep",1
"Feeling annoyed by the constant interruptions",0
"I'm amused by this funny video",1
"Feeling bored with the same routine",0
"I'm exhilarated by this thrilling adventure",1
"Feeling irritated by the loud music",0
"I'm captivated by her performance",1
"Feeling exhausted after the long journey",0
"I'm fascinated by this ancient civilization",1
"Feeling frustrated with the lack of progress",0
"I'm enchanted by the beauty of this place",1
"Feeling anxious about the upcoming event",0
"I'm delighted by the unexpected surprise",1
"Feeling stressed about the current situation",0
"I'm moved by his heartfelt words",1
"Feeling overwhelmed by the responsibilities",0
"I'm impressed by her achievements",1
"Feeling exhausted after the strenuous workout",0
"I'm energized by the positive feedback",1
"Feeling annoyed by the constant notifications",0
"I'm amused by their silly jokes",1
"Feeling bored with the monotonous routine",0
"I'm exhilarated by the adrenaline rush",1
"Feeling irritated by the persistent noise",0
"I'm captivated by the intriguing plot",1
"Feeling exhausted after the sleepless night",0
"I'm fascinated by this scientific discovery",1
"Feeling frustrated with the ongoing issues",0
"I'm enchanted by the charm of this town",1
"Feeling anxious about the uncertain future",0
"I'm delighted by the amazing performance",1
"Feeling stressed about the upcoming exam",0
"I'm moved by the powerful message",1
"Feeling overwhelmed by the complex situation",0
"I'm impressed by the innovative solutions",1
"Feeling exhausted after the long day at work",0
"I'm energized by the enthusiasm of the team",1
"Feeling annoyed by the repetitive questions",0
"I'm amused by their clever pranks",1
"Feeling bored with the tedious tasks",0
"I'm exhilarated by the breathtaking view",1
"Feeling irritated by the constant interruptions",0
"I'm captivated by the beauty of this painting",1
"Feeling exhausted after the intense workout",0
"I'm fascinated by this historical artifact",1
"Feeling frustrated with the slow progress",0
"I'm enchanted by the tranquility of this place",1
"Feeling anxious about the upcoming deadline",0
"I'm delighted by the delicious meal",1
"Feeling stressed about the uncertain future",0
"I'm moved by the emotional performance",1
"Feeling overwhelmed by the overwhelming tasks",0
"I'm impressed by the remarkable achievements",1
