CGPA,Interactive,Practical Knowledge,Common Skills,Job Offers
3.5,Yes,Very Good,Good,Yes
2.8,No,Average,Moderate,No
3.9,Yes,Good,Poor,Yes
3.2,Yes,Very Good,Good,Yes
2.5,No,Good,Poor,No
3.7,Yes,Good,Good,Yes
3.1,No,Average,Moderate,No
3.4,Yes,Very Good,Good,Yes
2.9,Yes,Good,Moderate,No
3.6,No,Very Good,Good,Yes
2.6,Yes,Average,Poor,No
3.8,Yes,Very Good,Moderate,Yes
3.0,No,Good,Good,Yes
3.3,Yes,Average,Poor,No
3.5,Yes,Very Good,Good,Yes
2.8,No,Average,Moderate,No
3.9,Yes,Good,Poor,Yes
3.2,Yes,Very Good,Good,Yes
2.5,No,Good,Poor,No
3.7,Yes,Good,Good,Yes
3.1,No,Average,Moderate,No
3.4,Yes,Very Good,Good,Yes
2.9,Yes,Good,Moderate,No
3.6,No,Very Good,Good,Yes
2.6,Yes,Average,Poor,No
3.8,Yes,Very Good,Moderate,Yes
3.0,No,Good,Good,Yes
3.3,Yes,Average,Poor,No
3.5,Yes,Very Good,Good,Yes
2.8,No,Average,Moderate,No
3.9,Yes,Good,Poor,Yes
3.2,Yes,Very Good,Good,Yes
2.5,No,Good,Poor,No
3.7,Yes,Good,Good,Yes
3.1,No,Average,Moderate,No
3.4,Yes,Very Good,Good,Yes
2.9,Yes,Good,Moderate,No
3.6,No,Very Good,Good,Yes
2.6,Yes,Average,Poor,No
3.8,Yes,Very Good,Moderate,Yes
3.0,No,Good,Good,Yes
3.3,Yes,Average,Poor,No
3.5,Yes,Very Good,Good,Yes
2.8,No,Average,Moderate,No
3.9,Yes,Good,Poor,Yes
3.2,Yes,Very Good,Good,Yes
2.5,No,Good,Poor,No
3.7,Yes,Good,Good,Yes
3.1,No,Average,Moderate,No
3.4,Yes,Very Good,Good,Yes
2.9,Yes,Good,Moderate,No
3.6,No,Very Good,Good,Yes
2.6,Yes,Average,Poor,No
3.8,Yes,Very Good,Moderate,Yes
3.0,No,Good,Good,Yes
3.3,Yes,Average,Poor,No
